# Final MCMC Chain Data for Kinematic Snap Model (KSM) - Post-Burn-In Samples
Holographic_Parameter_c	Transition_Width_w
0.59477265	13124.41405680
0.57373548	15365.81793865
0.58944394	14812.35003301
0.58975605	13307.17671366
0.58233184	14939.95250290
0.58044535	14144.92484470
0.57805131	15032.72100619
0.58342814	13677.27764477
0.58573190	14417.19611359
0.57998791	12815.80794796
0.60096097	13505.79504860
0.57603466	14066.67829143
0.58059457	14394.38311312
0.58249548	14000.90200503
0.56797556	13469.49063143
0.57451555	12881.17848418
0.58660939	13720.79982031
0.58579732	14034.44906473
0.58049938	13883.11488368
0.58670449	15401.45146250
0.58470781	12323.08566551
0.57513552	14143.14785779
0.57512658	15339.25383677
0.58490414	12116.07600321
0.60063151	13994.94409049
0.58761298	15983.80874358
0.57931315	13784.37470126
0.58911573	14499.37705798
0.57971655	13416.85665119
0.58070481	13783.23144391
0.56756201	13741.77373460
0.58753832	14811.24394112
0.59134799	15441.27505420
0.59094585	17563.78327849
0.57928322	14202.58991059
0.57749700	14485.44913320
0.58840419	14407.81817012
0.57156607	14556.27088118
0.59239684	12886.16969614
0.59308253	13947.80820515
0.59028155	13852.93152152
0.57869385	12484.19947715
0.57942322	13072.45881421
0.57608777	15603.23108945
0.57530065	13361.46048049
0.58328039	14851.83126436
0.59088038	17088.83875967
0.59708063	14563.48047979
0.56444617	13509.97379817
0.58840840	15407.34370139
0.57833312	13462.04851187
0.59620569	16417.35513371
0.59398329	13990.67454960
0.59196021	14363.33821789
0.57409660	15331.82833795
0.57226026	14773.73525834
0.57975803	14889.97766656
0.57509056	12934.37340582
0.56202167	14338.81757318
0.58113627	13582.87998760
0.58151414	15997.58586214
0.58916842	14256.67733741
0.56685444	14447.37214314
0.57863332	13660.81514931
0.56164018	15630.83859298
0.57983947	13789.18793201
0.58029420	14626.93985047
0.59839623	13473.84415928
0.57023164	15381.61246414
0.58435931	14361.28512792
0.57871669	14012.91506373
0.59310254	13347.21110054
0.58918780	14366.98033631
0.57661146	14893.40993198
0.58218852	14110.95336244
0.57673345	15098.37228299
0.58531391	14690.08240618
0.57375844	16734.78055688
0.57302582	13386.65399483
0.56405665	14191.14554465
0.57945990	14356.03607231
0.57771757	11548.03777497
0.58960747	13591.98047673
0.58471060	17516.59527645
0.58358143	13871.96156123
0.57963264	14241.94930997
0.57939723	14883.16814740
0.59092774	14582.68384258
0.56398005	15825.74888247
0.59653800	15175.70782403
0.57513833	15927.82765057
0.58131176	16227.61994063
0.57547006	12497.10572074
0.57665663	12573.96795126
0.58997331	14176.75210916
0.58889564	14334.22505668
0.55651159	13345.66643392
0.57292356	13912.02756984
0.58760083	15815.55458990
0.57884575	16177.31509468
0.58628515	13251.84551513
0.57663656	14272.19823566
0.58077900	14421.99837916
0.58218144	13142.75712729
0.57424086	13014.92076546
0.56619175	14370.72852392
0.59049481	12901.49851576
0.58343501	14706.07329033
0.57801252	13870.72852433
0.58749283	16851.77313691
0.57949901	13919.06588689
0.56940398	14251.61576056
0.58409344	17285.66093854
0.58130700	13047.60263654
0.59695314	13728.42247151
0.59112534	14366.47297825
0.56326025	13877.91464338
0.58888359	14805.74879736
0.57216392	15171.52718869
0.58283702	14355.08682790
0.58808015	15407.57823201
0.57550563	14396.82251980
